herbivores,barnacles,plot,date,Dens Siph,Bgrec,mussels,cover Ralfsia sp.,cover Blindigia,cover Porphyra,polysiphonia,%ephem,Tegula,notes
out,no,1,2006-04-26,3,4,0,100,16,0,0,16,,
out,no,2,2006-04-26,1,3,0,100,0,0,0,0,,
out,no,3,2006-04-26,0,1,0,50,0.5,0,0,0.5,,
out,no,4,2006-04-26,0,0,0,100,0.5,0,0,0.5,,
out,no,5,2006-04-26,0,0,0,100,0,0,0,0,,
out,no,6,2006-04-26,0,0,0,100,0.5,0,0,0.5,,
out,no,1,2006-05-12,0,0,0,100,5,0,0,5,,
out,no,2,2006-05-12,0,0,0,98,1,0,0,1,,
out,no,3,2006-05-12,0,0,0,70,0.5,0,0,0.5,,
out,no,4,2006-05-12,0,0,0,100,0.5,0,0,0.5,,
out,no,5,2006-05-12,0,0,0,100,0,0,0,0,,
out,no,6,2006-05-12,0,1,0,100,1,0,0,1,,
out,no,1,2006-06-12,0,0,0,100,2.5,0,0,2.5,,
out,no,2,2006-06-12,0,1,0,100,2,0,0,2,,
out,no,3,2006-06-12,0,0,0,100,1,0.5,0,1.5,,
out,no,4,2006-06-12,0,0,0,100,1,0,0,1,,
out,no,5,2006-06-12,0,0,0,100,0.5,0,0,0.5,,
out,no,6,2006-06-12,0,0,0,100,2,0,0,2,,
out,no,1,2006-08-09,0,0,0,100,5,0,0,5,,
out,no,2,2006-08-09,0,3,0,100,5,0,0,5,,
out,no,3,2006-08-09,0,0,0,100,1,3,0,4,,
out,no,4,2006-08-09,0,0,0,100,0,0,0,0,,
out,no,5,2006-08-09,0,0,0,100,0.5,0,0,0.5,,
out,no,6,2006-08-09,0,0,0,100,2,3,2,7,,
out,no,1,2006-09-09,1,1,0,100,5,0,0,5,,
out,no,2,2006-09-09,1,0,0,100,6,0,0,6,,
out,no,3,2006-09-09,0,0,0,100,6,5,0,11,,
out,no,4,2006-09-09,0,0,0,100,0,0,0,0,,
out,no,5,2006-09-09,0,0,0,100,1,1,0,2,,
out,no,6,2006-09-09,0,0,0,100,2,3,2,7,,
out,no,1,2006-10-07,0,0,0,100,7,0,0,7,,
out,no,2,2006-10-07,0,2,0,98,6,0,0,6,,
out,no,3,2006-10-07,0,0,0,99,3,1,0,4,,
out,no,4,2006-10-07,0,0,0,100,0.5,0,0,0.5,,
out,no,5,2006-10-07,1,0,0,100,0.5,0,0,0.5,,
out,no,6,2006-10-07,0,0,0,98,2,0,0,2,,
out,no,1,2006-11-09,0,0,0,97,7,0,0,7,,
out,no,2,2006-11-09,1,0,0,100,3,0,0,3,,
out,no,3,2006-11-09,0,0,0,100,3,0.5,0,3.5,,
out,no,4,2006-11-09,0,0,0,96,0.5,0,0,0.5,,
out,no,5,2006-11-09,0,0,0,100,0.5,0,0,0.5,,
out,no,6,2006-11-09,0,0,0,97,2,0,0,2,,
out,no,1,2006-12-04,0,0,0,88,5,0,0,5,,
out,no,2,2006-12-04,0,2,0,100,2,0,0,2,,
out,no,3,2006-12-04,0,0,0,90,0.5,0,0,0.5,,
out,no,4,2006-12-04,2,1,0,76,0,0,0,0,,
out,no,5,2006-12-04,0,0,0,95,0,0,0,0,,
out,no,6,2006-12-04,0,1,0,93,1,0,0,1,,
out,no,1,2007-01-06,0,1,0,50,5,0,0,5,,
out,no,2,2007-01-06,0,0,0,100,2,0,0,2,,
out,no,3,2007-01-06,0,0,0,50,0.5,0,0,0.5,,
out,no,4,2007-01-06,0,0,0,100,0.5,0,0,0.5,,
out,no,5,2007-01-06,0,0,0,50,,0,0,0,,
out,no,6,2007-01-06,0,0,0,50,0.5,0,0,0.5,,
out,no,1,2007-02-19,0,0,0,100,5,0,0,5,,
out,no,2,2007-02-19,0,0,0,100,3,0,0,3,,
out,no,3,2007-02-19,,,,,,,,,,lost
out,no,4,2007-02-19,0,0,0,100,1,0,0,1,,
out,no,5,2007-02-19,0,0,0,30,0,0,0,0,,
out,no,6,2007-02-19,0,0,0,30,0,0,0,0,,
con,no,7,2006-04-26,0,1,0,30,0,0,0,0,,
con,no,8,2006-04-26,0,8,0,25,0,0,0,0,,
con,no,9,2006-04-26,0,3,0,60,0,0,0,0,,
con,no,10,2006-04-26,0,1,0,40,0,0,0,0,,
con,no,11,2006-04-26,0,0,0,10,0,0,0,0,,
con,no,12,2006-04-26,0,0,0,25,0,0,0,0,,
con,no,7,2006-05-12,0,0,,30,,,,0,,
con,no,8,2006-05-12,0,0,,30,,,,0,,
con,no,9,2006-05-12,0,0,,70,,,,0,,
con,no,10,2006-05-12,0,2,,30,,,,0,,
con,no,11,2006-05-12,0,0,,10,,,,0,,
con,no,12,2006-05-12,0,0,,25,,,,0,,
con,no,7,2006-06-12,0,2,,50,,,,0,,
con,no,8,2006-06-12,0,2,,40,,,,0,,
con,no,9,2006-06-12,0,0,,70,,,,0.5,,
con,no,10,2006-06-12,0,0,,35,,,,0,,
con,no,11,2006-06-12,0,0,,25,,,,0,,
con,no,12,2006-06-12,0,0,,40,,,,0,,
con,no,7,2006-08-09,0,0,,60,,,,0,,
con,no,8,2006-08-09,0,2,,40,,,,0,,
con,no,9,2006-08-09,0,0,,90,,,,0.5,,
con,no,10,2006-08-09,0,0,,30,,,,0,,
con,no,11,2006-08-09,0,0,,55,,,,0.5,,
con,no,12,2006-08-09,0,0,,50,,,,0,,
con,no,7,2006-09-09,0,0,,60,,,,0,,
con,no,8,2006-09-09,0,0,,40,,,,0,,
con,no,9,2006-09-09,0,0,,90,,,,0,,
con,no,10,2006-09-09,0,0,,30,,,,0,,
con,no,11,2006-09-09,0,1,,55,,,,0.5,,
con,no,12,2006-09-09,0,0,,50,,,,0,,
con,no,7,2006-10-07,0,0,,45,,,,0,,
con,no,8,2006-10-07,0,0,,40,,,,0,,
con,no,9,2006-10-07,0,0,,80,,,,0,,
con,no,10,2006-10-07,0,0,,10,,,,0,,
con,no,11,2006-10-07,0,0,,50,,,,0,,
con,no,12,2006-10-07,0,0,,50,,,,0,,
con,no,7,2006-11-09,0,0,,50,,,,0,,
con,no,8,2006-11-09,0,1,,40,,,,0,,
con,no,9,2006-11-09,0,0,,75,,,,0,,
con,no,10,2006-11-09,0,0,,10,,,,0,,
con,no,11,2006-11-09,0,0,,50,,,,0,,
con,no,12,2006-11-09,0,0,,45,,,,0,,
con,no,7,2006-12-04,0,0,,40,,,,0,,
con,no,8,2006-12-04,0,1,,40,,,,0,,
con,no,9,2006-12-04,0,0,,60,,,,0,,
con,no,10,2006-12-04,0,0,,5,,,,0,,
con,no,11,2006-12-04,0,0,,50,,,,0,,
con,no,12,2006-12-04,0,0,,40,,,,0,,
con,no,7,2007-01-06,0,0,,40,,,,0,,
con,no,8,2007-01-06,0,0,,40,,,,0,,
con,no,9,2007-01-06,0,0,,60,,,,0,,
con,no,10,2007-01-06,0,0,,10,,,,0,,
con,no,11,2007-01-06,0,0,,35,,,,0,,
con,no,12,2007-01-06,0,0,,30,,,,0,,
con,no,7,2007-02-19,0,9,,50,,,,0,,
con,no,8,2007-02-19,0,0,,40,,,,1,,
con,no,9,2007-02-19,0,0,,60,,,,0,,
con,no,10,2007-02-19,0,0,,15,,,,0,,
con,no,11,2007-02-19,0,0,,40,,,,0,,
con,no,12,2007-02-19,0,0,,30,,,,0,,
in,no,13,2006-04-26,0,5,,20,,,,0,,
in,no,14,2006-04-26,0,0,,5,,,,0,,
in,no,15,2006-04-26,0,0,,10,,,,0,,
in,no,16,2006-04-26,0,0,,10,,,,0,,
in,no,17,2006-04-26,2,1,,15,,,,0,,
in,no,18,2006-04-26,0,1,,5,,,,35,,
in,no,13,2006-05-12,0,0,,20,,,,0,,
in,no,14,2006-05-12,0,0,,20,,,,0,,
in,no,15,2006-05-12,1,0,,40,,,,0,,
in,no,16,2006-05-12,0,0,,20,,,,0,,
in,no,17,2006-05-12,1,0,,30,,,,0,,
in,no,18,2006-05-12,1,0,,5,,,,0,,
in,no,13,2006-06-12,1,0,,40,,,,0,,
in,no,14,2006-06-12,0,0,,30,,,,0,,
in,no,15,2006-06-12,0,0,,40,,,,0,,
in,no,16,2006-06-12,0,0,,50,,,,0,,
in,no,17,2006-06-12,1,1,,60,,,,0.5,,
in,no,18,2006-06-12,0,0,,5,,,,0,,
in,no,13,2006-08-09,0,0,,70,,,,0,,
in,no,14,2006-08-09,0,1,,60,,,,0,,
in,no,15,2006-08-09,0,1,,75,,,,0,,
in,no,16,2006-08-09,0,5,,50,,,,5,,
in,no,17,2006-08-09,0,3,,100,,,,0.5,,
in,no,18,2006-08-09,0,1,,80,,,,0,,
in,no,13,2006-09-09,0,6,1,75,,,,0,,
in,no,14,2006-09-09,0,4,0,60,,,,0,,
in,no,15,2006-09-09,0,0,0,75,,,,0,,
in,no,16,2006-09-09,0,0,0,70,,,,10,,
in,no,17,2006-09-09,1,1,0,80,,,,1,,
in,no,18,2006-09-09,0,1,0,80,,,,0,,
in,no,13,2006-10-07,2,1,,50,,,,0,,
in,no,14,2006-10-07,0,0,,80,,,,0,,
in,no,15,2006-10-07,0,1,,50,,,,0,,
in,no,16,2006-10-07,0,1,,90,,,,10,,
in,no,17,2006-10-07,0,0,,50,,,,1,,
in,no,18,2006-10-07,0,1,,75,,,,0,,
in,no,13,2006-11-09,2,0,,50,,,,0,,
in,no,14,2006-11-09,0,0,,50,,,,0,,
in,no,15,2006-11-09,0,0,,45,,,,0,,
in,no,16,2006-11-09,0,0,,85,,,,8,,
in,no,17,2006-11-09,0,0,,40,,,,0,,
in,no,18,2006-11-09,0,0,,50,,,,0,,
in,no,13,2006-12-04,0,1,,50,,,,0,,
in,no,14,2006-12-04,0,0,,30,,,,0,,
in,no,15,2006-12-04,0,0,,40,,,,0,,
in,no,16,2006-12-04,0,1,,50,,,,1,,
in,no,17,2006-12-04,,,,,,,,,,lost
in,no,18,2006-12-04,0,0,,10,,,,0,,
in,no,13,2007-01-06,1,1,,50,,,,0,,
in,no,14,2007-01-06,0,0,,30,,,,0,,
in,no,15,2007-01-06,0,1,,40,,,,0,,
in,no,16,2007-01-06,0,0,,40,,,,1,,
in,no,17,2007-01-06,,,,,,,,,,lost
in,no,18,2007-01-06,0,0,,5,,,,0,,
in,no,13,2007-02-19,0,37,,50,,,,0,,
in,no,14,2007-02-19,0,6,,20,,,,0,,
in,no,15,2007-02-19,0,1,,30,,,,0,,
in,no,16,2007-02-19,0,0,,20,,,,0,,
in,no,17,2007-02-19,,,,,,,,,,lost
in,no,18,2007-02-19,0,2,,5,,,,0,,
out,yes,19,2006-04-26,0,0,,80,,,,0,,
out,yes,20,2006-04-26,0,0,,100,,,,0,,
out,yes,21,2006-04-26,0,2,1,95,,,,5,,
out,yes,22,2006-04-26,0,0,,100,,,,25,,
out,yes,19,2006-05-12,0,1,,80,,,,10,,double-check
out,yes,20,2006-05-12,0,1,,100,,,,20,,
out,yes,21,2006-05-12,0,1,,97,,,,10,,
out,yes,22,2006-05-12,0,1,,100,,,,30,,
out,yes,19,2006-06-12,0,0,,75,,,,0,,
out,yes,20,2006-06-12,0,2,1,100,,,,10,,
out,yes,21,2006-06-12,0,1,,100,,,,5,,
out,yes,22,2006-06-12,0,0,,100,,,,35,,
out,yes,19,2006-08-09,0,0,,80,,,,0,,
out,yes,20,2006-08-09,1,0,,100,,,,20,,
out,yes,21,2006-08-09,0,0,,100,,,,10,,
out,yes,22,2006-08-09,0,2,,100,,,,40,,
out,yes,19,2006-09-09,0,0,,80,,,,0,,
out,yes,20,2006-09-09,0,0,,100,,,,20,,
out,yes,21,2006-09-09,0,1,,100,,,,10,,
out,yes,22,2006-09-09,0,0,,100,,,,50,,
out,yes,19,2006-10-07,0,0,,50,,,,10,,
out,yes,20,2006-10-07,0,0,,100,,,,20,,
out,yes,21,2006-10-07,0,0,,90,,,,5,,
out,yes,22,2006-10-07,0,1,,100,,,,60,,
out,yes,19,2006-11-09,0,0,,60,,,,5,,
out,yes,20,2006-11-09,0,0,,100,,,,5,,
out,yes,21,2006-11-09,0,0,,90,,,,5,,
out,yes,22,2006-11-09,0,0,,100,,,,50,,
out,yes,19,2021-12-06,0,0,,50,,,,1,,
out,yes,20,2021-12-06,0,0,,100,,,,5,,
out,yes,21,2021-12-06,0,0,,90,,,,5,,
out,yes,22,2021-12-06,0,0,,100,,,,15,,
out,yes,19,2007-01-06,0,0,,80,,,,0,,
out,yes,20,2007-01-06,0,1,,100,,,,5,,
out,yes,21,2007-01-06,0,0,,100,,,,10,,
out,yes,22,2007-01-06,0,0,,100,,,,15,,
out,yes,19,2007-02-19,0,0,,100,,,,0,,
out,yes,20,2007-02-19,0,0,,100,,,,1,,
out,yes,21,2007-02-19,0,0,,100,,,,10,,
out,yes,22,2007-02-19,0,0,,100,,,,0,,
in,yes,23,2006-04-26,0,6,1,10,,,,1,1,
in,yes,24,2006-04-26,0,1,3,25,,,,3,,
in,yes,25,2006-04-26,0,5,0,100,,,,0,,
in,yes,26,2006-04-26,0,3,0,10,,,,0,,
in,yes,27,2006-04-26,0,4,0,80,,,,0,,
in,yes,28,2006-04-26,0,0,0,15,,,,0,,
in,yes,23,2006-05-12,4,0,,10,,,,1,,
in,yes,24,2006-05-12,0,0,,25,,,,3,,
in,yes,25,2006-05-12,0,0,,100,,,,0,,
in,yes,26,2006-05-12,0,0,,10,,,,0,,
in,yes,27,2006-05-12,0,0,,80,,,,0,,
in,yes,28,2006-05-12,0,0,,30,,,,0,,
in,yes,23,2006-06-12,0,0,0,10,,,,1,,
in,yes,24,2006-06-12,0,0,0,25,,,,0,,
in,yes,25,2006-06-12,0,0,0,100,,,,7,,
in,yes,26,2006-06-12,0,0,0,5,,,,0,,
in,yes,27,2006-06-12,2,0,1,90,,,,0,,
in,yes,28,2006-06-12,2,0,0,30,,,,0,,
in,yes,23,2006-08-09,2,1,1,50,,,,0,,
in,yes,24,2006-08-09,2,0,0,30,,,,5,,
in,yes,25,2006-08-09,0,0,0,100,,,,5,,
in,yes,26,2006-08-09,3,0,1,15,,,,0,,
in,yes,27,2006-08-09,0,0,0,90,,,,0,,
in,yes,28,2006-08-09,0,0,0,50,,,,0,,
in,yes,23,2006-09-09,2,0,,50,,,,5,,
in,yes,24,2006-09-09,1,0,,50,,,,5,,
in,yes,25,2006-09-09,0,0,,80,,,,5,,
in,yes,26,2006-09-09,0,0,,10,,,,0,,
in,yes,27,2006-09-09,0,0,,90,,,,0,,
in,yes,28,2006-09-09,0,0,,50,,,,0,,
in,yes,23,2006-10-07,0,1,,50,,,,5,,
in,yes,24,2006-10-07,0,0,,50,,,,0,,
in,yes,25,2006-10-07,0,0,,80,,,,5,,
in,yes,26,2006-10-07,,,,,,,,,,lost
in,yes,27,2006-10-07,2,0,,90,,,,5,,
in,yes,28,2006-10-07,2,0,,40,,,,0,,
in,yes,23,2006-11-09,1,1,,15,,,,3,,
in,yes,24,2006-11-09,0,0,,30,,,,0,,
in,yes,25,2006-11-09,0,0,,80,,,,0,,
in,yes,26,2006-11-09,0,0,,10,,,,0,,
in,yes,27,2006-11-09,0,0,,90,,,,0,,
in,yes,28,2006-11-09,0,0,,30,,,,0,,
in,yes,23,2006-12-04,0,0,,15,,,,3,,
in,yes,24,2006-12-04,0,0,,30,,,,0,,
in,yes,25,2006-12-04,0,0,,80,,,,0,,
in,yes,26,2006-12-04,0,0,,10,,,,0,,
in,yes,27,2006-12-04,0,0,,80,,,,0,,
in,yes,28,2006-12-04,1,0,,20,,,,0,,
in,yes,23,2007-01-06,1,0,,7,,,,0,,
in,yes,24,2007-01-06,0,0,,30,,,,0,,
in,yes,25,2007-01-06,,,,,,,,,,lost
in,yes,26,2007-01-06,0,0,,10,,,,0,,
in,yes,27,2007-01-06,0,0,,30,,,,0,,
in,yes,28,2007-01-06,0,0,,15,,,,5,,
in,yes,23,2007-02-19,0,18,,7,,,,0,,
in,yes,24,2007-02-19,3,0,,20,,,,0,,
in,yes,25,2007-02-19,,,,,,,,,,lost
in,yes,26,2007-02-19,,,,,,,,,,lost
in,yes,27,2007-02-19,0,0,,30,,,,0,,
in,yes,28,2007-02-19,0,0,,10,,,,0,,
con,yes,29,2006-04-26,,2,1,10,,,,0,,
con,yes,30,2006-04-26,,6,0,50,,,,10,,
con,yes,31,2006-04-26,,1,0,70,,,,0,,
con,yes,32,2006-04-26,,0,0,100,,,,0,,
con,yes,33,2006-04-26,,0,0,40,,,,0,,
con,yes,34,2006-04-26,,2,0,70,,,,1,,
con,yes,29,2006-05-12,,0,,10,,,,0,,
con,yes,30,2006-05-12,,3,,50,,,,5,,
con,yes,31,2006-05-12,,0,,70,,,,0,,
con,yes,32,2006-05-12,,0,,100,,,,0,,
con,yes,33,2006-05-12,,1,,0,,,,0,,
con,yes,34,2006-05-12,,2,,80,,,,0,,
con,yes,29,2006-06-12,,0,,20,,,,0,,
con,yes,30,2006-06-12,,4,,80,,,,0,,
con,yes,31,2006-06-12,,0,,70,,,,0,,
con,yes,32,2006-06-12,,0,,100,,,,1,,
con,yes,33,2006-06-12,,0,,0,,,,0,,
con,yes,34,2006-06-12,,0,,90,,,,1,,
con,yes,29,2006-08-09,,0,,25,,,,5,,
con,yes,30,2006-08-09,,0,,100,,,,10,,
con,yes,31,2006-08-09,,0,,95,,,,1,,
con,yes,32,2006-08-09,,0,,90,,,,1,,
con,yes,33,2006-08-09,,0,,50,,,,0,,
con,yes,34,2006-08-09,,1,,100,,,,1,,
con,yes,29,2006-09-09,,0,,20,,,,0,,
con,yes,30,2006-09-09,,0,,80,,,,10,,
con,yes,31,2006-09-09,,0,,95,,,,1,,
con,yes,32,2006-09-09,,0,,85,,,,3,,
con,yes,33,2006-09-09,,0,,70,,,,0,,
con,yes,34,2006-09-09,,0,,95,,,,1,,
con,yes,29,2006-10-07,2,0,1,5,,,,0,,
con,yes,30,2006-10-07,1,0,0,80,,,,1,,
con,yes,31,2006-10-07,0,0,0,50,,,,0,,
con,yes,32,2006-10-07,0,0,0,40,,,,0,,
con,yes,33,2006-10-07,0,0,0,5,,,,0,,
con,yes,34,2006-10-07,0,0,0,80,,,,0,,
con,yes,29,2006-11-09,0,0,,5,,,,0,,
con,yes,30,2006-11-09,0,0,,70,,,,1,,
con,yes,31,2006-11-09,0,0,,50,,,,0,,
con,yes,32,2006-11-09,2,0,,30,,,,0,,
con,yes,33,2006-11-09,0,0,,40,,,,1,,
con,yes,34,2006-11-09,0,0,,80,,,,0,,
con,yes,29,2006-12-04,,0,,5,,,,0,,
con,yes,30,2006-12-04,,0,,50,,,,0,,
con,yes,31,2006-12-04,,0,,40,,,,0,,
con,yes,32,2006-12-04,,1,,10,,,,0,,
con,yes,33,2006-12-04,,0,,40,,,,0,,
con,yes,34,2006-12-04,,2,,75,,,,0,,
con,yes,29,2007-01-06,1,0,,3,,,,0,,
con,yes,30,2007-01-06,0,0,,40,,,,0,,
con,yes,31,2007-01-06,0,0,,30,,,,0,,
con,yes,32,2007-01-06,0,0,,5,,,,0,,
con,yes,33,2007-01-06,0,0,,30,,,,0,,
con,yes,34,2007-01-06,0,0,,50,,,,0,,
con,yes,29,2007-02-19,,0,,3,,,,0,,
con,yes,30,2007-02-19,,0,,10,,,,0,,
con,yes,31,2007-02-19,,0,,10,,,,0,,
con,yes,32,2007-02-19,,0,,5,,,,0,,
con,yes,33,2007-02-19,,0,,40,,,,0,,
con,yes,34,2007-02-19,,1,,60,,,,0,,