year,month,humidity,site
2015,1,93.98785425,BS
2015,2,91.46795827,BS
2015,3,91.8844086,BS
2015,4,85.73472222,BS
2015,5,87.86962366,BS
2015,6,83.17524339,BS
2015,7,84.75403226,BS
2015,8,88.11574697,BS
2015,9,89.35854342,BS
2015,10,90.80027174,BS
2015,11,90.84691011,BS
2015,12,91.70731707,BS
2016,1,90.72162162,BS
2016,2,88.79022989,BS
2016,3,84.98497268,BS
2016,4,85.58567416,BS
2016,5,80.09825034,BS
2016,6,84.8375,BS
2016,7,88.51612903,BS
2016,8,87.5094086,BS
2016,9,90.74444444,BS
2016,10,91.27571429,BS
2016,11,92.23478261,BS
2016,12,89.76621622,BS
2017,1,81.82186235,BS
2017,2,83.30389222,BS
2017,3,90.23387097,BS
2017,4,86.20694444,BS
2017,5,86.64516129,BS
2017,6,84.13333333,BS
2017,7,84.27284946,BS
2017,8,87.72446237,BS
2017,9,86.75698324,BS
2017,10,88.24091521,BS
2017,11,86.5744089,BS
2017,12,89.63193505,BS
2018,1,91.0845839,BS
2018,2,87.54110613,BS
2018,3,85.23848238,BS
2018,4,83.38537271,BS
2018,5,84.25134409,BS
2018,6,86.88202247,BS
2018,7,86.37651822,BS
2018,8,89.23655914,BS
2018,9,89.78089888,BS
2018,10,90.59565807,BS
2018,11,92.67222222,BS
2018,12,90.96029412,BS
2019,1,90.00134409,BS
2019,2,79.24404762,BS
2019,3,80.46195652,BS
2019,4,82.15694444,BS
2019,5,81.98521505,BS
2019,6,84.79305556,BS
2019,7,88.46423752,BS
2019,8,88.66666667,BS
2019,9,88.49861111,BS
2019,10,87.29973118,BS
2019,11,90.1625,BS
2019,12,95.32392473,BS
2020,1,90.36409396,BS
2020,2,89.66235632,BS
2020,3,84.27740189,BS
2020,4,84.46666667,BS
2020,5,81.20698925,BS
2020,6,87.34861111,BS
2020,7,88.08198925,BS
2020,8,90.77419355,BS
2020,9,87.43627451,BS
2017,7,59.3,GN
2017,8,54.3,GN
2017,9,48.8,GN
2017,10,44.2,GN
2017,11,49.9,GN
2017,12,41.5,GN
2018,1,42,GN
2018,2,48.9,GN
2018,3,47.3,GN
2018,4,44.6,GN
2018,5,57.5,GN
2018,6,49.2,GN
2018,7,61.3,GN
2018,8,51.4,GN
2018,9,53.1,GN
2018,10,51.5,GN
2018,11,50.3,GN
2018,12,46,GN
2019,1,41.8,GN
2019,2,43.4,GN
2019,3,56.1,GN
2019,4,53,GN
2019,5,58.4,GN
2019,6,60.7,GN
2019,7,62.4,GN
2019,8,57.4,GN
2019,9,53.3,GN
2019,10,50.1,GN
2019,11,43.5,GN
2019,12,47.5,GN
2020,1,42.1,GN
2020,2,47.6,GN
2020,3,51,GN
2020,4,53.6,GN
2020,5,57.9,GN
2015,1,45.8,GN
2015,2,52.1,GN
2015,3,49.5,GN
2015,4,56.4,GN
2015,5,58.2,GN
2015,6,50,GN
2015,7,52.4,GN
2015,8,56.7,GN
2015,9,55,GN
2015,10,53.4,GN
2015,11,45.9,GN
2015,12,45.5,GN
2016,1,54.3,GN
2016,2,50.9,GN
2016,3,56.3,GN
2016,4,54.3,GN
2016,5,72.6,GN
2016,6,67.2,GN
2016,7,67.7,GN
2016,8,60.4,GN
2016,9,63.4,GN
2016,10,59.6,GN
2016,11,47.5,GN
2016,12,44.5,GN
2017,1,42.2,GN
2017,2,55.9,GN
2017,3,56.3,GN
2017,4,60.8,GN
2017,5,59.3,GN
2017,6,61.1,GN